Province,City,District,Sub-District,Street,Sqm,Rooms,Floor,Year Built,Price,Price per SqM
Harjumaa,Tallinn,Kesklinn,Kassisaba,Tehnika tn 35-6,81.3,3,2/4,2024,364576,4484
Harjumaa,Tallinn,Kesklinn,Kassisaba,Luise tn 24/1-2,22.2,1,1/3,2026,120000,5405
Harjumaa,Tallinn,Kesklinn,Kassisaba,Luise tn 24/1-7,31.9,2,2/3,2026,189000,5925
Harjumaa,Tallinn,Kesklinn,Kassisaba,Luise tn 24/2-4,48.6,2,2/3,2026,272160,5600
Harjumaa,Tallinn,Kesklinn,,Loode tn 10-1,108.4,4,3/3,2025,626000,5775
Harjumaa,Tallinn,Kesklinn,Kassisaba,A. Adamsoni tn 10-3,54.2,3,2/4,,337260,6223
Harjumaa,Tallinn,Kesklinn,Kassisaba,Tehnika tn 35-12,97.6,4,4/4,2024,645888,6618
Harjumaa,Tallinn,Kesklinn,Kassisaba,A. Adamsoni tn 10-2,79.3,4,2/4,,490290,6183
Harjumaa,Tallinn,Haabersti,Rocca Towers,Päevalille 10-49,65.4,3,10/16,2024,279900,4280
Harjumaa,Tallinn,Haabersti,Rocca Towers,Päevalille 10-52,78.5,4,9/16,2024,299900,3820
Tartumaa,Tartu,Kesklinn,,Kitsas 5,47.2,2,1/3,2017,289000,6123
Harjumaa,Tallinn,Haabersti,Rocca Towers,Päevalille 10-49,65.4,3,10/16,2024,249900,3821
Harjumaa,Tallinn,Haabersti,Rocca Towers,Päevalille 10-50,44.2,2,10/16,2024,169900,3844
Pärnumaa,Pärnu,Pärnu linn,,Papiniidu tn 56-8,82,4,3/3,2024,341600,4166
Harjumaa,Tallinn,Haabersti,Rocca Towers,Päevalille 10-41,63.4,3,8/16,2024,314900,4967
Harjumaa,Tallinn,Haabersti,,Rehelepa tn 12-5,79.1,4,2/4,2024,222000,2807
Tartumaa,Tartu,Tartu linn,Kesklinn,Kastani tn 83-4,84.7,4,1/2,2024,359000,4238
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Tööstuse 47-18,86.8,3,2/3,2024,429900,4953
Lääne-Virumaa,Rakvere,,,Võidu 88,77.7,4,3/5,1977,106000,1364
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Tööstuse 47-9,52.4,2,1/3,2024,329900,6296
Harjumaa,Viimsi vald,Haabneeme,,Kaluri tee 23-18,59.1,2,3/4,2024,229900,3890
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Tööstuse 47-21,103,4,2/3,2024,489900,4756
Harjumaa,Tallinn,Kesklinn,,Tatari tn,56.7,3,2/4,1937,245000,4321
Raplamaa,Märjamaa vald,Märjamaa,,Pärnu mnt 78a-1,61.2,3,1/2,1893,99000,1618
Harjumaa,Tallinn,Pirita,Regati,Regati pst. 5/2-25,34.8,1,3/3,,189000,5431
Harjumaa,Viimsi vald,Haabneeme,,Kivila tee 2-17,64.9,2,1/4,2024,259900,4005
Harjumaa,Tallinn,Kadriorg,,Kollane tn 8,106.4,3,3/5,2007,445000,4182
